"DOHREGION,C,12",LATITUDE,LONGITUDE,"POP_TOT,N,31,15","F_TOT,N,31,15","M_TOT,N,31,15","W_TOT,N,31,15","B_TOT,N,31,15","AI_TOT,N,31,15","A_TOT,N,31,15","PI_TOT,N,31,15","O_TOT,N,31,15","MU_TOT,N,31,15","NH_TOT,N,31,15","H_TOT,N,31,15","HH_SIZE,N,31,15","HU_OCC,N,31,15","HU_VAC,N,31,15","TOT_LT_HS,N,31,15","TOT_HSPLUS,N,31,15","POVUNDER,N,31,15","POVOVER,N,31,15"
3.60E+11,40.5746,-74.0567,984,518,466,257,628,5,30,0,40,24,913,71,2,391,64,184,662,334,1037
3.60E+11,40.5746,-74.0567,1155,638,517,249,768,4,25,0,44,65,1028,127,3,393,62,142,347,370,454
3.60E+11,40.5746,-74.0567,2878,1619,1259,287,2322,3,16,0,149,101,2527,351,3,1145,61,427,781,1493,1390
3.60E+11, , ,984,502,482,192,702,3,11,0,48,28,873,111,2,439,114,60,494,152,584
3.60E+11,40.5796,rew!7,1177,594,583,970,114,0,43,1,25,24,1100,77,2,584,178,41,694,88,795
3.60E+11,40.5746,-74.0567,1676,889,787,447,940,14,47,0,113,115,1413,263,3,612,149,473,538,897,1464
3.60E+11,40.5746,-74.0567,1394,752,642,1087,185,1,85,0,14,22,1338,56,2,678,66,121,783,0,735
3.60E+11,40.5746,-74.0567,1641,829,812,437,960,4,38,0,104,98,1422,219,2,707,67,293,1004,924,1213
3.60E+11,40.5746,-74.0567,2227,1402,825,1921,205,2,56,0,16,27,2174,53,2,1017,57,209,1789,81,1642
3.60E+11,40.5746,-74.0567,1306,709,597,876,134,5,235,0,16,40,1247,59,2,647,21,21,1083,550,1342
3.60E+11,40.5746,-74.0567,1462,802,660,1168,126,0,133,0,6,29,1415,47,2,705,49,82,1061,184,1332
3.60E+11,40.5746,-74.0567,725,364,361,596,74,0,32,0,12,11,692,33,2,349,13,21,507,33,495
3.60E+11,40.5746,-74.0567,922,462,460,746,93,0,43,1,18,21,860,62,2,495,27,0,601,126,610
3.60E+11,40.5746,-74.0567,1152,533,619,488,514,16,20,0,53,61,1008,144,2,565,31,306,418,683,649
3.60E+11,40.5746,-74.0567,997,460,537,594,214,4,100,0,48,37,886,111,2,514,21,116,485,96,653
3.60E+11,40.5746,-74.0567,1987,884,1103,1044,601,13,99,1,119,110,1743,244,2,796,134,203,619,1092,996
3.60E+11,40.5746,-74.0567,774,408,366,90,622,2,16,0,23,21,731,43,2,316,43,37,481,154,815
3.60E+11,40.5746,-74.0567,941,529,412,153,677,1,1,3,49,57,801,140,3,334,104,185,426,697,455
3.60E+11,40.5746,-74.0567,1052,546,506,93,902,1,0,0,28,28,983,69,3,382,110,131,675,282,1032
3.60E+11,40.5746,-74.0567,1054,572,482,119,789,4,6,0,91,45,923,131,3,381,226,133,279,522,221
3.60E+11,40.5746,-74.0567,724,338,386,286,368,5,28,0,18,19,658,66,2,296,86,107,188,46,276
3.60E+11,40.5746,-74.0567,1169,503,666,462,510,7,88,0,52,50,1042,127,1,705,107,365,840,723,722
3.60E+11,40.5746,-74.0567,1795,791,1004,1498,141,2,57,3,44,50,1667,128,1,1208,161,95,1271,300,1538
3.60E+11,40.5746,-74.0567,1300,546,754,1071,108,2,64,1,23,31,1239,61,1,866,107,51,1075,292,1309
3.60E+11,40.5746,-74.0567,465,229,236,294,104,2,34,0,12,19,438,27,1,330,21,60,212,102,201
3.60E+11,40.5746,-74.0567,1830,824,1006,1484,170,6,85,0,27,58,1707,123,2,923,120,110,503,859,797
3.60E+11,40.5746,-74.0567,1748,873,875,1282,242,6,76,1,71,70,1607,141,3,619,51,37,494,671,608
3.60E+11,40.5746,-74.0567,844,411,433,661,87,1,60,0,11,24,795,49,2,369,30,21,440,164,578
3.60E+11,40.5746,-74.0567,730,392,338,542,122,1,25,0,3,37,686,44,2,342,13,26,563,119,596
3.60E+11,40.5746,-74.0567,951,475,476,782,92,4,49,1,6,17,894,57,2,438,20,28,571,261,691
3.60E+11,40.5746,-74.0567,997,453,544,752,117,5,71,0,23,29,918,79,2,480,35,67,436,71,733
3.60E+11,40.5746,-74.0567,1152,602,550,893,134,7,72,1,23,22,1088,64,2,503,54,28,781,160,1139
3.60E+11,40.5746,-74.0567,1350,731,619,981,223,3,72,0,14,57,1293,57,2,606,40,188,969,68,1097
3.60E+11,40.5746,-74.0567,522,288,234,462,22,0,14,0,8,16,487,35,2,235,9,0,449,11,575
3.60E+11,40.5746,-74.0567,642,323,319,590,21,1,19,0,7,4,620,22,2,283,7,15,685,83,771
3.60E+11,40.5746,-74.0567,1526,839,687,1382,58,3,64,0,7,12,1477,49,2,770,44,14,1210,83,1455
3.60E+11,40.5746,-74.0567,1424,813,611,1110,167,0,101,0,14,32,1347,77,2,683,24,88,972,43,1173
3.60E+11,40.5746,-74.0567,902,499,403,796,64,0,32,0,2,8,882,20,2,440,22,10,579,14,735
3.60E+11,40.5746,-74.0567,2085,1152,933,1806,125,1,114,2,5,32,2040,45,2,1070,51,85,1758,141,2168
3.60E+11,40.5746,-74.0567,863,453,410,679,64,2,72,18,10,18,830,33,2,443,18,51,532,80,744
3.60E+11,40.5746,-74.0567,1503,821,682,1270,134,1,74,0,2,22,1474,29,2,779,35,237,1152,233,1589
3.60E+11,40.5746,-74.0567,566,286,280,482,34,0,22,0,9,19,547,19,2,289,12,39,426,48,519
3.60E+11,40.5746,-74.0567,884,480,404,745,59,0,43,0,12,25,833,51,2,462,33,38,653,95,843
3.60E+11,40.5746,-74.0567,578,306,272,487,37,4,23,0,6,21,551,27,2,246,4,0,430,24,575
3.60E+11,40.5746,-74.0567,792,397,395,686,62,0,24,0,2,18,771,21,2,358,6,9,485,148,499
3.60E+11,40.5746,-74.0567,1237,658,579,1064,98,1,29,0,13,32,1179,58,2,544,33,63,949,53,1401
3.60E+11,40.5746,-74.0567,743,403,340,601,61,1,63,0,5,12,712,31,2,318,12,0,565,0,799
3.60E+11,40.5746,-74.0567,786,410,376,672,61,0,29,0,8,16,755,31,2,356,13,0,601,70,795
3.60E+11,40.5746,-74.0567,1052,538,514,837,130,0,42,0,8,35,1011,41,2,457,14,104,784,45,1063
3.60E+11,40.5746,-74.0567,1593,818,775,874,468,17,115,0,55,64,1431,162,2,666,54,121,723,103,1176
3.60E+11,40.5746,-74.0567,981,534,447,361,447,10,33,0,78,52,817,164,2,406,58,33,633,296,756
3.60E+11,40.5746,-74.0567,855,434,421,369,387,1,20,2,32,44,779,76,2,348,22,15,347,163,508
3.60E+11,40.5746,-74.0567,800,427,373,495,199,4,36,0,27,39,729,71,2,343,11,82,477,21,898
3.60E+11,40.5746,-74.0567,1542,812,730,807,497,6,64,0,100,68,1344,198,2,651,42,92,943,24,1302
3.60E+11,40.5746,-74.0567,1271,653,618,484,489,12,163,0,43,80,1133,138,2,592,109,94,485,268,622
3.60E+11,40.5746,-74.0567,1429,640,789,980,322,2,41,1,26,57,1290,139,2,847,94,55,815,341,913
3.60E+11,40.5746,-74.0567,915,460,455,492,282,4,75,0,20,42,853,62,2,519,68,175,625,38,1106
3.60E+11,40.5746,-74.0567,946,493,453,125,683,4,30,2,49,53,812,134,2,457,93,116,442,227,699
3.60E+11,40.5746,-74.0567,1105,545,560,576,393,7,32,0,37,60,985,120,2,563,124,95,512,210,800
3.60E+11,40.5746,-74.0567,745,403,342,108,557,11,4,0,42,23,634,111,2,420,16,105,317,235,370
3.60E+11,40.5746,-74.0567,1380,700,680,463,594,10,143,1,78,91,1170,210,3,497,60,110,516,198,1054
3.60E+11,40.5746,-74.0567,1342,741,601,300,867,1,28,0,73,73,1164,178,3,504,64,73,696,342,1028
3.60E+11,40.5746,-74.0567,1659,853,806,539,931,4,34,1,58,92,1466,193,2,658,142,99,842,563,999
3.60E+11,40.5746,-74.0567,784,463,321,129,581,1,0,1,32,40,695,89,2,337,23,112,1028,710,884
3.60E+11,40.5746,-74.0567,945,482,463,869,17,3,14,0,15,27,903,42,2,494,69,89,813,153,1174
3.60E+11,40.5746,-74.0567,1210,634,576,1046,72,4,1,0,29,58,1141,69,2,548,111,192,505,546,610
3.60E+11,40.5746,-74.0567,957,491,466,808,103,2,0,0,6,38,910,47,2,433,115,118,597,158,853
3.60E+11,40.5746,-74.0567,1292,671,621,1108,64,9,26,0,13,72,1227,65,2,570,80,78,519,157,876
3.60E+11,40.5746,-74.0567,970,558,412,803,106,6,11,0,12,32,916,54,2,603,33,189,466,174,624
3.60E+11,40.5746,-74.0567,831,431,400,783,11,0,12,0,5,20,802,29,2,354,10,39,502,33,649
3.60E+11,40.5746,-74.0567,1371,707,664,1314,21,4,8,0,0,24,1352,19,2,603,28,193,1460,127,1908
3.60E+11,40.5746,-74.0567,995,524,471,914,31,1,8,0,8,33,965,30,2,447,34,135,618,236,783
3.60E+11,40.5746,-74.0567,1667,879,788,1525,54,3,30,0,15,40,1614,53,2,705,76,63,1065,49,1442
3.60E+11,40.5746,-74.0567,1681,962,719,1606,33,2,7,0,18,15,1648,33,2,743,86,237,1136,82,1477
3.60E+11,40.5746,-74.0567,903,465,438,772,58,0,26,0,11,36,873,30,2,470,48,24,692,156,813
3.60E+11,40.5746,-74.0567,904,487,417,812,47,6,11,0,0,28,872,32,2,419,35,65,545,165,777
3.60E+11,40.5746,-74.0567,813,429,384,752,27,7,9,1,7,10,788,25,2,397,39,64,412,133,521
3.60E+11,40.5746,-74.0567,698,400,298,610,35,5,14,0,11,23,652,46,2,364,19,101,364,393,518
3.60E+11,40.5746,-74.0567,721,360,361,561,86,8,18,0,15,33,663,58,2,299,34,105,499,0,822
3.60E+11,40.5746,-74.0567,1034,581,453,835,82,8,54,0,21,34,949,85,2,548,37,140,488,149,726
3.60E+11,40.5746,-74.0567,500,248,252,444,30,1,9,0,7,9,488,12,2,254,20,65,229,108,294
3.60E+11,40.5746,-74.0567,925,463,462,753,104,6,25,2,9,26,872,53,2,398,60,11,408,62,627
3.60E+11,40.5746,-74.0567,2111,1058,1053,1678,241,3,62,0,53,74,1956,155,2,1012,120,121,1302,230,1860
3.60E+11,40.5746,-74.0567,891,474,417,773,60,1,25,0,7,25,848,43,2,410,41,72,648,41,959
3.60E+11,40.5746,-74.0567,663,337,326,572,59,1,8,0,13,10,611,52,2,278,20,27,325,42,539
3.60E+11,40.5746,-74.0567,815,433,382,737,40,7,3,0,10,18,781,34,2,382,31,65,729,88,915
3.60E+11,40.5746,-74.0567,952,489,463,807,89,0,13,0,5,38,928,24,2,451,48,50,419,50,633
3.60E+11,40.5746,-74.0567,1050,528,522,898,25,0,89,0,9,29,1012,38,3,368,11,89,666,17,1184
3.60E+11,40.5746,-74.0567,1210,607,603,1070,27,1,84,0,11,17,1185,25,3,459,17,67,691,52,952
3.60E+11,40.5746,-74.0567,2017,952,1065,1548,144,2,269,0,5,49,1984,33,2,988,42,143,1102,150,1642
3.60E+11,40.5746,-74.0567,915,477,438,808,9,4,81,0,5,8,898,17,2,374,18,16,670,0,932
3.60E+11,40.5746,-74.0567,1797,1013,784,1684,23,0,59,0,4,27,1764,33,2,652,23,50,1176,135,1580
3.60E+11,40.5746,-74.0567,2904,1545,1359,2576,90,2,166,0,32,38,2824,80,2,1211,75,105,1979,221,2742
3.60E+11,40.5746,-74.0567,1740,918,822,1489,67,0,144,0,4,36,1713,27,2,716,8,90,1131,24,1558
3.60E+11,40.5746,-74.0567,1717,895,822,1264,148,22,199,0,30,54,1620,97,2,779,75,38,1040,225,1393
3.60E+11,40.5746,-74.0567,1948,972,976,1409,125,5,320,0,42,47,1868,80,2,818,29,126,1331,272,2208
3.60E+11,40.5746,-74.0567,646,327,319,569,26,1,26,0,8,16,626,20,3,237,8,35,492,0,939
3.60E+11,40.5746,-74.0567,1820,928,892,1573,33,0,172,3,3,36,1784,36,3,661,31,33,1038,102,1663
3.60E+11,40.5746,-74.0567,1952,1012,940,1781,67,1,63,0,1,39,1925,27,2,790,20,74,1544,0,2255
3.60E+11,40.5746,-74.0567,2775,1424,1351,2254,143,1,273,0,51,53,2676,99,3,1068,49,38,1677,369,2212
3.60E+11,40.5746,-74.0567,1114,571,543,979,83,0,31,0,9,12,1086,28,2,512,27,30,771,101,1013
3.60E+11,40.5746,-74.0567,1409,720,689,1264,22,1,76,0,9,37,1365,44,3,536,30,0,671,68,1142
3.60E+11,40.5746,-74.0567,1113,591,522,1043,7,0,42,0,11,10,1089,24,3,437,13,17,780,0,1212
3.60E+11,40.5746,-74.0567,4055,2178,1877,3607,88,1,240,0,49,70,3909,146,2,639,28,21,1373,0,1938
3.60E+11,40.5746,-74.0567,1681,956,725,1225,147,1,234,0,24,50,1613,68,2,977,112,87,1097,103,1340
3.60E+11,40.5746,-74.0567,1422,705,717,1020,262,5,72,3,20,40,1343,79,2,737,83,34,701,152,967
3.60E+11,40.5746,-74.0567,1373,764,609,1122,61,5,151,0,18,16,1329,44,2,551,45,23,1002,116,1184
3.60E+11,40.5746,-74.0567,1614,805,809,973,244,1,330,0,10,56,1563,51,2,874,65,0,1030,202,1478
3.60E+11,40.5746,-74.0567,2500,1011,1489,1905,469,3,87,2,11,23,2415,85,3,603,25,463,2220,90,1480
3.60E+11,40.5746,-74.0567,1429,778,651,1310,49,5,36,0,8,21,1401,28,2,623,32,80,958,73,1230
3.60E+11,40.5746,-74.0567,1850,1003,847,1657,86,3,81,0,7,16,1812,38,2,847,20,78,1508,214,2187
3.60E+11,40.5746,-74.0567,1660,879,781,1491,44,1,77,2,7,38,1609,51,2,671,13,68,916,62,1265
3.60E+11,40.5746,-74.0567,1689,901,788,1510,83,7,50,0,10,29,1643,46,2,727,23,118,1062,107,1379
3.60E+11,40.5746,-74.0567,2124,1097,1027,1960,29,1,86,0,11,37,2063,61,3,815,24,12,1497,6,2182
3.60E+11,40.5746,-74.0567,2746,1485,1261,2433,94,10,143,0,22,44,2671,75,2,1248,44,219,1529,290,2098
3.60E+11,40.5746,-74.0567,2005,1035,970,1839,53,0,85,0,4,24,1985,20,2,834,25,47,1298,82,1645
3.60E+11,40.5746,-74.0567,1310,664,646,1187,31,1,76,0,7,8,1264,46,3,499,3,71,990,0,1474
3.60E+11,40.5746,-74.0567,648,326,322,574,25,0,34,0,3,12,633,15,3,246,2,13,417,38,495
3.60E+11,40.5746,-74.0567,2114,1060,1054,1827,139,6,78,0,16,48,2028,86,2,858,34,85,1302,277,1953
3.60E+11,40.5746,-74.0567,593,316,277,495,67,0,14,0,5,12,564,29,2,241,9,32,319,0,440
3.60E+11,40.5746,-74.0567,559,327,232,454,45,0,30,0,9,21,537,22,2,315,12,55,398,33,601
3.60E+11,40.5746,-74.0567,1075,567,508,944,75,1,18,1,11,25,1032,43,2,494,26,161,660,0,971
3.60E+11,40.5746,-74.0567,1624,840,784,1446,103,0,39,1,10,25,1558,66,3,634,19,65,997,50,1511
3.60E+11,40.5746,-74.0567,665,333,332,613,26,0,12,0,1,13,646,19,2,294,12,28,499,24,631
3.60E+11,40.5746,-74.0567,2071,1046,1025,1807,65,0,137,0,17,45,2032,39,3,702,11,37,1219,32,1923
3.60E+11,40.5746,-74.0567,727,383,344,633,6,3,75,0,9,1,712,15,3,282,5,10,501,0,722
3.60E+11,40.5746,-74.0567,1592,807,785,1480,44,1,48,0,9,10,1560,32,3,603,15,108,971,19,1594
3.60E+11,40.5746,-74.0567,987,512,475,889,43,0,29,0,2,24,960,27,2,403,15,37,791,12,1133
3.60E+11,40.5746,-74.0567,1473,739,734,1263,55,0,124,0,4,27,1435,38,3,580,18,46,1004,147,1288
3.60E+11,40.5746,-74.0567,1479,768,711,1300,92,3,52,0,6,26,1443,36,2,634,21,105,1127,0,1751
3.60E+11,40.5746,-74.0567,1002,538,464,896,32,0,43,0,7,24,965,37,2,417,10,51,691,74,892
3.60E+11,40.5746,-74.0567,2852,1514,1338,2411,137,3,260,0,7,34,2787,65,2,1191,43,80,1784,0,2542
3.60E+11,40.5746,-74.0567,2574,1337,1237,1907,218,10,327,1,32,79,2457,117,2,1336,141,194,1825,118,2810
3.60E+11,40.5746,-74.0567,682,366,316,575,26,1,24,0,15,41,632,50,2,305,14,52,410,0,592
3.60E+11,40.5746,-74.0567,747,377,370,626,48,0,40,1,16,16,696,51,2,332,16,70,433,90,512
3.60E+11,40.5746,-74.0567,691,354,337,578,64,5,9,0,23,12,647,44,2,304,16,61,392,0,718
3.60E+11,40.5746,-74.0567,1681,907,774,1511,75,1,56,0,19,19,1617,64,2,726,25,97,879,56,1384
3.60E+11,40.5746,-74.0567,1244,639,605,1083,55,2,32,1,21,50,1189,55,2,526,27,118,667,68,1123
3.60E+11,40.5746,-74.0567,926,519,407,781,69,1,30,0,6,39,896,30,2,414,23,98,558,104,951
3.60E+11,40.5746,-74.0567,1275,647,628,1140,27,2,76,0,10,20,1244,31,3,464,17,89,797,66,1292
3.60E+11,40.5746,-74.0567,1338,801,537,1221,39,0,68,0,0,10,1324,14,2,813,52,0,1070,14,1319
3.60E+11,40.5746,-74.0567,1754,915,839,1655,19,2,39,0,5,34,1714,40,3,670,20,61,1178,133,1593
3.60E+11,40.5746,-74.0567,937,487,450,817,17,6,65,1,11,20,909,28,3,348,12,33,411,32,624
3.60E+11,40.5746,-74.0567,1385,758,627,1313,19,2,23,0,6,22,1356,29,2,525,18,61,1094,66,1671
3.60E+11,40.5746,-74.0567,1250,633,617,1195,13,1,27,0,4,10,1224,26,3,483,11,0,820,11,1106
3.60E+11,40.5746,-74.0567,2199,1108,1091,1999,35,4,100,0,15,46,2141,58,3,801,33,25,1223,61,2022
3.60E+11,40.5746,-74.0567,934,474,460,878,24,1,20,0,1,10,917,17,3,372,21,102,528,11,864
3.60E+11,40.5746,-74.0567,1394,765,629,1290,47,2,14,0,15,26,1345,49,2,691,44,43,701,129,961
3.60E+11,40.5746,-74.0567,966,539,427,903,12,0,29,0,1,21,949,17,2,432,15,0,930,14,1158
3.60E+11,40.5746,-74.0567,2321,1220,1101,2195,19,1,46,0,20,40,2265,56,3,879,48,24,1429,0,2075
3.60E+11,40.5746,-74.0567,1257,643,614,1125,22,0,83,0,3,24,1218,39,2,504,28,22,1054,74,1455
3.60E+11,40.5746,-74.0567,1509,758,751,1414,36,0,26,0,8,25,1473,36,3,579,16,41,953,48,1501
3.60E+11,40.5746,-74.0567,1268,656,612,1218,21,6,8,0,5,10,1229,39,3,483,6,0,857,0,1143
3.60E+11,40.5746,-74.0567,642,340,302,614,2,0,16,0,3,7,630,12,2,262,4,0,523,41,633
3.60E+11,40.5746,-74.0567,934,506,428,873,22,1,13,0,11,14,909,25,2,407,11,12,617,11,750
3.60E+11,40.5746,-74.0567,1649,839,810,1535,44,2,29,0,4,35,1620,29,2,739,45,17,1088,155,1393
3.60E+11,40.5746,-74.0567,875,434,441,831,23,2,2,0,0,17,845,30,3,348,18,31,618,55,999
3.60E+11,40.5746,-74.0567,1977,1006,971,1655,266,3,24,2,4,23,1879,98,2,744,54,170,971,546,1380
3.60E+11,40.5746,-74.0567,3077,1557,1520,2776,41,3,203,0,19,35,2989,88,3,1045,22,84,1984,89,3189
3.60E+11,40.5746,-74.0567,901,463,438,880,10,1,2,0,1,7,878,23,2,385,16,50,625,0,922
3.60E+11,40.5746,-74.0567,1621,849,772,1464,49,3,77,0,8,20,1592,29,3,624,24,22,907,28,1393
3.60E+11,40.5746,-74.0567,2193,1114,1079,1952,77,4,77,1,11,71,2110,83,3,859,37,43,1398,106,2138
3.60E+11,40.5746,-74.0567,1212,615,597,1102,43,3,8,0,6,50,1150,62,2,486,67,103,800,122,1138
3.60E+11,40.5746,-74.0567,1781,852,929,1723,22,2,11,0,3,20,1747,34,3,709,48,171,1093,95,1652
3.60E+11,40.5746,-74.0567,1158,572,586,1122,7,5,7,0,3,14,1136,22,3,460,32,42,830,20,1215
3.60E+11,40.5746,-74.0567,1506,775,731,1301,98,5,20,0,34,48,1367,139,2,617,120,43,1152,44,1693
3.60E+11,40.5746,-74.0567,1761,908,853,1645,45,1,10,1,32,27,1654,107,2,720,56,118,983,73,1506
3.60E+11,40.5746,-74.0567,1009,503,506,960,12,4,8,0,1,24,995,14,3,379,16,72,588,10,880
3.60E+11,40.5746,-74.0567,1633,810,823,1590,5,2,16,0,2,18,1598,35,3,651,42,60,1086,47,1553
3.60E+11,40.5746,-74.0567,837,414,423,806,8,1,0,6,6,10,825,12,2,348,17,77,446,272,691
3.60E+11,40.5746,-74.0567,1452,748,704,1391,13,1,24,0,1,22,1426,26,2,601,32,91,1005,202,1430
3.60E+11,40.5746,-74.0567,1337,684,653,1301,9,4,19,0,0,4,1303,34,3,511,14,14,900,19,1144
3.60E+11,40.5746,-74.0567,614,328,286,548,9,0,32,0,8,17,591,23,3,235,6,0,506,0,753
3.60E+11,40.5746,-74.0567,712,365,347,676,5,0,11,0,10,10,693,19,3,283,13,88,517,82,638
3.60E+11,40.5746,-74.0567,1737,894,843,1573,43,5,83,0,11,22,1672,65,3,693,27,35,1043,236,1429
3.60E+11,40.5746,-74.0567,2487,1305,1182,2198,41,2,179,0,12,55,2437,50,3,962,27,132,1704,189,2535
3.60E+11,40.5746,-74.0567,2202,1113,1089,2053,26,1,104,0,3,15,2160,42,3,757,20,26,1256,0,1738
3.60E+11,40.5746,-74.0567,1124,576,548,1038,39,2,32,0,5,8,1093,31,3,439,11,12,1132,12,1713
3.60E+11,40.5746,-74.0567,1775,951,824,1570,63,2,101,0,14,25,1732,43,2,749,25,267,1368,162,1972
3.60E+11,40.5746,-74.0567,979,481,498,789,33,0,127,0,7,23,938,41,2,460,33,121,470,10,699
3.60E+11,40.5746,-74.0567,1695,910,785,1553,56,4,43,0,15,24,1646,49,2,792,27,8,1080,117,1266
3.60E+11,40.5746,-74.0567,1971,995,976,1596,101,2,208,2,26,36,1912,59,2,1110,116,68,1576,263,2171
3.60E+11,40.5746,-74.0567,765,398,367,726,10,0,25,0,2,2,759,6,2,348,10,0,552,26,650
3.60E+11,40.5746,-74.0567,1053,535,518,929,31,1,57,0,13,22,1002,51,2,433,43,74,610,209,863
3.60E+11,40.5746,-74.0567,1720,885,835,1660,12,3,22,0,10,13,1682,38,3,676,37,55,1035,117,1501
3.60E+11,40.5746,-74.0567,870,428,442,840,10,4,1,0,5,10,860,10,2,353,15,16,632,24,733
3.60E+11,40.5746,-74.0567,1165,632,533,1109,24,1,13,0,1,17,1148,17,3,415,63,66,753,0,1018
3.60E+11,40.5746,-74.0567,828,435,393,714,38,1,30,0,17,28,796,32,2,395,16,25,572,8,817
3.60E+11,40.5746,-74.0567,1144,570,574,987,24,0,118,0,4,11,1120,24,3,347,6,0,828,0,1421
3.60E+11,40.5746,-74.0567,959,508,451,874,21,1,54,0,2,7,932,27,2,398,11,0,627,13,865
3.60E+11,40.5746,-74.0567,1558,821,737,1107,107,2,290,2,12,38,1512,46,2,770,78,0,1138,112,1448
3.60E+11,40.5746,-74.0567,1927,935,992,1611,56,0,200,3,17,40,1860,67,2,787,26,74,1196,20,1861
3.60E+11,40.5746,-74.0567,2374,1259,1115,1576,119,5,605,0,22,47,2310,64,2,1189,147,136,1750,96,2124
3.60E+11,40.5746,-74.0567,1089,534,555,1069,5,1,2,0,2,10,1077,12,3,427,46,55,541,35,783
3.60E+11,40.5746,-74.0567,1603,791,812,1570,7,0,4,0,3,19,1595,8,3,599,59,75,1154,242,1616
3.60E+11,40.5746,-74.0567,2284,1130,1154,2235,17,1,9,0,1,21,2253,31,2,959,409,91,1561,68,2059
3.60E+11,40.5746,-74.0567,510,251,259,497,2,0,6,0,1,4,505,5,2,207,59,66,383,0,681
3.60E+11,40.5746,-74.0567,828,401,427,802,11,0,1,0,5,9,807,21,2,335,194,126,508,140,848
3.60E+11,40.5746,-74.0567,1855,912,943,1816,3,2,3,0,2,29,1827,28,3,741,161,102,1197,113,1776
3.60E+11,40.5746,-74.0567,1506,746,760,1466,7,4,4,0,3,22,1482,24,2,613,85,82,922,208,1269
36001DOH0001,40.5746,-74.0567,2184,1151,1033,361,1623,6,30,0,66,98,1998,186,2,930,414,295,737,863,1007
36001DOH0002,40.5746,-74.0567,7786,4052,3734,5482,1086,17,552,10,352,287,6900,886,2,405,22,41,673,96,877
36001DOH0003,40.5746,-74.0567,1263,683,580,718,387,1,29,0,51,77,1141,122,2,480,41,210,720,339,734
36001DOH0004,40.5746,-74.0567,3448,1829,1619,2563,477,5,223,0,82,98,3172,276,2,872,71,187,1062,253,1499
36001DOH0005,40.5746,-74.0567,1689,761,928,542,738,8,211,0,85,105,1514,175,3,613,165,144,632,629,977
36001DOH0006,40.5746,-74.0567,1669,833,836,379,1059,2,26,3,100,100,1405,264,2,719,201,401,648,837,1077
36001DOH0007,40.5746,-74.0567,2776,1292,1484,1880,487,6,233,0,61,109,2591,185,2,1305,106,52,1223,784,1758
36001DOH0008,40.5746,-74.0567,2502,1267,1235,1684,365,4,333,1,34,81,2410,92,2,659,109,146,921,477,1155
36001DOH0009,40.5746,-74.0567,2127,1138,989,489,1315,10,29,0,155,129,1746,381,2,891,338,246,704,779,993
36001DOH0010,40.5746,-74.0567,1397,703,694,1302,55,1,3,0,12,24,1349,48,2,626,76,83,933,151,1102
36001DOH0011,40.5746,-74.0567,1669,882,787,1425,127,2,15,0,23,77,1603,66,2,774,113,277,759,297,1088
36001DOH0012,40.5746,-74.0567,1183,599,584,1079,60,2,7,0,10,25,1132,51,2,567,96,142,785,163,1021
36001DOH0013,40.5746,-74.0567,944,473,471,792,82,1,23,0,16,30,883,61,2,431,49,122,651,93,1107
36001DOH0014,40.5746,-74.0567,2380,1199,1181,2297,7,7,29,0,4,36,2356,24,2,968,61,114,1698,27,2395
36001DOH0015,40.5746,-74.0567,3061,1579,1482,2819,27,15,132,7,16,45,2972,89,3,1221,46,135,1957,80,2859
36001DOH0016,40.5746,-74.0567,1015,504,511,999,8,0,3,0,0,5,1002,13,2,433,309,63,642,128,747
3.60E+11,40.5746,-74.0567,1180,578,602,1161,1,3,0,0,2,13,1173,7,3,471,112,106,762,114,1151
3.60E+11,40.5746,-74.0567,586,277,309,578,1,0,0,0,1,6,579,7,2,268,370,79,329,109,517
3.60E+11,40.5746,-74.0567,789,386,403,774,0,1,4,0,0,10,782,7,3,301,210,25,546,25,701
3.60E+11,40.5746,-74.0567,1423,710,713,1399,3,14,0,0,0,7,1408,15,3,545,102,70,709,177,979
3.60E+11,40.5746,-74.0567,1341,671,670,1315,3,3,0,0,10,10,1329,12,3,475,276,222,738,494,1103
3.60E+11,40.5746,-74.0567,2163,1243,920,2008,38,3,82,0,4,28,2131,32,3,414,89,71,720,162,962
3.60E+11,40.5746,-74.0567,1478,733,745,1440,3,2,9,0,4,20,1461,17,3,573,551,145,777,240,1103
3.60E+11,40.5746,-74.0567,789,386,403,777,2,1,2,0,3,4,781,8,2,351,812,66,462,93,554
3.60E+11,40.5746,-74.0567,1382,671,711,1359,3,3,0,0,2,15,1371,11,3,542,337,169,835,172,1238
3.60E+11,40.5746,-74.0567,853,438,415,838,3,3,1,0,3,5,844,9,2,356,47,17,564,67,784
3.60E+11,40.5746,-74.0567,2281,1162,1119,2228,17,6,4,0,9,17,2255,26,3,903,295,230,1196,474,1628
3.60E+11,40.5746,-74.0567,693,351,342,681,1,0,0,0,0,11,688,5,2,291,73,55,397,171,546
3.60E+11,40.5746,-74.0567,986,475,511,911,33,7,5,0,10,20,958,28,2,383,61,53,451,212,611
3.60E+11,40.5746,-74.0567,1198,584,614,1169,4,6,5,1,6,7,1184,14,3,463,185,67,730,108,1076
3.60E+11,40.5746,-74.0567,1379,734,645,1328,11,5,8,0,13,14,1358,21,2,666,84,127,907,264,1213
3.60E+11,40.5746,-74.0567,1244,621,623,1197,9,1,18,0,3,16,1231,13,2,553,93,40,832,353,1011
